book,first_published,approximate_sales,text_file,avg_sales_per_year,polarity,subjectivity_score,tfidf_similarity,nmf_similarity
The_Bible,1611,5000000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Bible.txt,12315270.936,0.115752106772,0.516042056763,1.0,0.999999999876
Don_Quixote,1612,500000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Don_Quixote.txt,1234567.90123,0.141423037262,0.518683209915,0.174741477105,0.0579062853638
A_Tale_of_Two_Cities,1859,200000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/A_Tale_Of_Two_Cities.txt,1265822.78481,0.078544637701,0.488623620198,0.0962098759769,0.0446638281807
The_Fellowship_of_the_Ring,1954,155000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Fellowship_of_the_Ring.txt,2460317.46032,0.0661480157633,0.480125999076,0.0580806777246,0.0715144635804
The_Two_Towers,1954,150000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Two_Towers.txt,2380952.38095,0.0558927769594,0.484516805914,0.0939523193961,0.105695066247
The_Alchemist,1988,150000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Alchemist.txt,5172413.7931,0.128910304796,0.482231932152,0.119278204185,0.207076237486
The_Hobbit,1937,140000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Hobbit.txt,1750000.0,0.0640483648583,0.501478399618,0.05787592528,0.0575482749326
The_Return_of_the_King,1955,140000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Return_of_the_King.txt,2258064.51613,0.0676237169054,0.477975310874,0.123480915162,0.211257140328
Harry_Potter_and_the_Philosophers_Stone,1997,107000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Harry_Potter_and_the_Philosophers_Stone.txt,5350.0,0.0502904785001,0.47602826651,0.0471069197071,0.00308845661921
And_Then_There_Were_None,1939,100000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/And_Then_There_Were_None.txt,1282051.28205,0.0387545284357,0.506739199142,0.0752027786292,0.0373874866784
The_Dream_of_the_Red_Chamber,1754,100000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Dream_Of_The_Red_Chamber.txt,380228.136882,0.107777178003,0.448234388536,0.0311558025264,0.0289238372404
Alice_in_Wonderland,1865,100000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Alice_in_Wonderland.txt,657894.736842,0.0411805185125,0.496612087519,0.0866662252978,0.0233093503626
The_Lion_the_Witch_and_the_Wardrobe,1950,85000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Lion_The_Witch_And_The_Wardrobe.txt,1268656.71642,0.078878097604,0.481597797287,0.13434973993,0.0979639105302
She_A_History_of_Adventure,1887,83000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/She_A_History_of_Adventure.txt,638461.538462,0.0763639164186,0.514125705767,0.268436830042,0.562136722571
The_Da_Vinci_Code,2003,80000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Da_Vinci_Code.txt,5714285.71429,0.0627836358946,0.486570387154,0.0350697292803,0.156123194493
Harry_Potter_and_the_Half-Blood_Prince,2005,65000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Harry_Potter_and_the_Half-Blood_Prince.txt,5416666.66667,0.0604744720701,0.498481654948,0.0450527250391,0.00532566577848
The_Catcher_in_the_Rye,1951,65000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Catcher_in_the_Rye.txt,984848.484848,0.034429612194,0.508430254841,0.0809805477572,0.0462353077553
The_Adventures_of_Sherlock_Holmes,1887,60000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Adventures_Of_Sherlock_Holmes.txt,461538.461538,0.0635437466003,0.484584400261,0.150428170408,0.0475138505135
20000_Leagues_under_the_Sea,1870,60000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/20000_Leagues_Under_The_Sea.txt,408163.265306,0.0934470070805,0.483473224414,0.0639688617319,0.0171718844603
Harry_Potter_and_the_Chamber_of_Secrets,1998,60000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Harry_Potter_and_the_Chamber_of_Secrets.txt,3157894.73684,0.0461107316965,0.493101389717,0.0446727448219,0.00281527346815
Harry_Potter_and_the_Prisoner_of_Azkaban,1998,55000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Harry_Potter_and_the_Prisoner_of_Azkaban.txt,2894736.84211,0.0340631324062,0.48630176509,0.0426276716783,0.00226527234588
Harry_Potter_and_the_Goblet_of_Fire,2000,55000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Harry_Potter_and_the_Goblet_of_Fire.txt,3235294.11765,0.0534393807461,0.475526704424,0.0495781960594,0.00462056909951
Harry_Potter_and_the_Order_of_the_Phoenix,2003,55000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Harry_Potter_and_the_Order_of_the_Phoenix.txt,3928571.42857,0.036594782646,0.487400445117,0.0535846288894,0.00438510818567
Harry_Potter_and_the_Deathly_Hallows,2007,50000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Harry_Potter_and_the_Deathly_Hallows.txt,5000000.0,0.0485024793551,0.480237968956,0.0473571233389,0.00550367995457
One_Hundred_Years_of_Solitude,1967,50000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/One_Hundred_Years_Of_Solitude.txt,1000000.0,0.0617127646963,0.459613353809,0.0379298863751,0.0630888403964
Lolita,1955,50000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Lolita.txt,806451.612903,0.0586173335101,0.489288886234,0.0908043261537,0.0170165981849
Heidis_Years_of_Learning_and_Travel,1880,50000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Heidis_Years_Of_Learning_And_Travel.txt,364963.50365,0.120871501834,0.496307298985,0.0394487201666,0.0749604533149
Anne_of_Green_Gables,1908,50000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Anne_Of_Green_Gables.txt,458715.59633,0.102234574916,0.513094865377,0.040293352289,0.0227072955791
Black_Beauty,1877,50000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Black_Beauty.txt,357142.857143,0.106806273938,0.514911170459,0.176970547113,0.0473564473918
The_Name_of_the_Rose,1980,50000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Name_Of_The_Rose.txt,1351351.35135,0.0896335947666,0.525661930536,0.122682617635,0.107633974196
Watership_Down,1972,50000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Watership_Down.txt,1111111.11111,0.0512913922383,0.468000271382,0.0675499506371,0.0386198681522
The_Bridges_of_Madison_County,1992,50000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Bridges_Of_Madison_County.txt,2000000.0,0.0916708613358,0.465834847877,0.0595462713285,0.0228971902133
Ben_Hur_A_Tale_of_the_Christ,1880,50000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Ben_Hur_A_Tale_Of_The_Christ.txt,364963.50365,0.135779724264,0.480017049051,0.240245024116,0.574062411176
The_Mark_of_Zorro,1924,50000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Mark_Of_Zorro.txt,537634.408602,0.0937981354646,0.499642104095,0.040187669977,0.013684764609
The_Tale_of_Peter_Rabbit,1902,45000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Tale_Of_Peter_Rabbit.txt,391304.347826,0.0865241657555,0.402994100408,0.0262023277349,0.0107267693763
The_Odyssey,1539,45000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Odyssey.txt,94142.2594142,0.124225698338,0.537725832304,0.299334587189,0.22219507813
Jonathan_Livingston_Seagull,1970,44000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Jonathan_Livingston_Seagull.txt,936170.212766,0.154670429187,0.506186635666,0.0506358206971,0.030474885161
