book,author,original_language,first_published,approximate_sales,text_file
The_Bible,Many_Authors,English,1611,5000000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Bible.txt
Don_Quixote,Miguel_de_Cervantes,Spanish,1612,500000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Don_Quixote.txt
A_Tale_of_Two_Cities,_Charles_Dickens,_English,1859,200000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/A_Tale_Of_Two_Cities.txt
The_Fellowship_of_the_Ring,J._R._R._Tolkien,English,1954,155000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Fellowship_of_the_Ring.txt
The_Two_Towers,J._R._R._Tolkien,English,1954,150000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Two_Towers.txt
The_Alchemist,Paulo_Coelho,Portuguese,1988,150000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Alchemist.txt
The_Hobbit,J_R_R_Tolkien,English,1937,140000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Hobbit.txt
The_Return_of_the_King,J._R._R._Tolkien,English,1955,140000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Return_of_the_King.txt
Harry_Potter_and_the_Philosophers_Stone,J.K._Rowling,English,1997,107000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Harry_Potter_and_the_Philosophers_Stone.txt
And_Then_There_Were_None,Agatha_Christie,English,1939,100000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/And_Then_There_Were_None.txt
The_Dream_of_the_Red_Chamber,Cao_Xueqin,Chinese,1754,100000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Dream_Of_The_Red_Chamber.txt
Alice_in_Wonderland,Lewis_Carroll,English,1865,100000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Alice_in_Wonderland.txt
The_Lion_the_Witch_and_the_Wardrobe,C._S._Lewis,English,1950,85000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Lion_The_Witch_And_The_Wardrobe.txt
She_A_History_of_Adventure,H._Rider_Haggard,English,1887,83000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/She_A_History_of_Adventure.txt
The_Da_Vinci_Code,Dan_Brown,English,2003,80000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Da_Vinci_Code.txt
Harry_Potter_and_the_Half-Blood_Prince,J._K._Rowling,English,2005,65000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Harry_Potter_and_the_Half-Blood_Prince.txt
The_Catcher_in_the_Rye,J._D._Salinger,English,1951,65000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Catcher_in_the_Rye.txt
The_Adventures_of_Sherlock_Holmes,Arthur_Conan_Doyle,English,1887,60000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/The_Adventures_Of_Sherlock_Holmes.txt
20000_Leagues_under_the_Sea,Jules_Verne,French,1870,60000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/20000_Leagues_Under_The_Sea.txt
Harry_Potter_and_the_Chamber_of_Secrets,J._K._Rowling,English,1998,60000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Harry_Potter_and_the_Chamber_of_Secrets.txt
Harry_Potter_and_the_Prisoner_of_Azkaban,J._K._Rowling,English,1998,55000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Harry_Potter_and_the_Prisoner_of_Azkaban.txt
Harry_Potter_and_the_Goblet_of_Fire,J._K._Rowling,English,2000,55000000,/Users/jrrd/Galvanize/Biblical-Book-Sales/data/best_sellers_texts/Harry_Potter_and_the_Goblet_of_Fire.txt
